product_id,name,category,price,stock
1,Serve Phone,Electronics,96.47,99
2,Record Novel,Beauty,96.47,99
3,Sign Shirt,Toys,96.47,99
4,Good Mixer,Toys,96.47,99
5,Doctor Novel,Beauty,96.47,99
6,International Shirt,Toys,96.47,99
7,Pay Novel,Beauty,96.47,99
8,Majority Phone,Sports,96.47,99
9,Fall Mixer,Toys,96.47,99
10,Structure Mixer,Home & Kitchen,96.47,99
11,News Perfume,Home & Kitchen,96.47,99
12,Who Novel,Beauty,96.47,99
13,Will Shirt,Books,96.47,99
14,Road Shoes,Electronics,96.47,99
15,Kitchen Novel,Clothing,96.47,99
16,Pretty Mixer,Sports,96.47,99
17,Decide Mixer,Electronics,96.47,99
18,Edge Novel,Electronics,96.47,99
19,Anyone Shoes,Sports,96.47,99
20,Commercial Perfume,Sports,96.47,99
21,Third Novel,Books,96.47,99
22,Decide Novel,Toys,96.47,99
23,Mrs Shirt,Beauty,96.47,99
24,Eat Phone,Books,96.47,99
25,Next Shirt,Clothing,96.47,99
26,Stop Mixer,Home & Kitchen,96.47,99
27,Worker Novel,Clothing,96.47,99
28,Talk Shoes,Sports,96.47,99
29,Talk Shoes,Home & Kitchen,96.47,99
30,Scientist Shirt,Sports,96.47,99
31,Be Shoes,Books,96.47,99
32,Open Shoes,Electronics,96.47,99
33,Hold Phone,Sports,96.47,99
34,Guy Shirt,Home & Kitchen,96.47,99
35,True Doll,Toys,96.47,99
36,They Mixer,Home & Kitchen,96.47,99
37,Many Doll,Toys,96.47,99
38,Pass Perfume,Beauty,96.47,99
39,Compare Mixer,Electronics,96.47,99
40,Opportunity Mixer,Electronics,96.47,99
41,Matter Shirt,Home & Kitchen,96.47,99
42,State Doll,Beauty,96.47,99
43,Phone Phone,Electronics,96.47,99
44,Letter Mixer,Beauty,96.47,99
45,Add Phone,Toys,96.47,99
46,Role Mixer,Toys,96.47,99
47,Eight Mixer,Beauty,96.47,99
48,Always Mixer,Electronics,96.47,99
49,Your Phone,Electronics,96.47,99
50,Agency Shirt,Books,96.47,99
51,Dream Mixer,Sports,96.47,99
52,Together Shoes,Electronics,96.47,99
53,Financial Doll,Toys,96.47,99
54,Take Doll,Sports,96.47,99
55,Surface Mixer,Sports,96.47,99
56,Include Shirt,Electronics,96.47,99
57,Speak Novel,Clothing,96.47,99
58,Generation Novel,Sports,96.47,99
59,Party Novel,Beauty,96.47,99
60,Better Doll,Clothing,96.47,99
61,Capital Doll,Books,96.47,99
62,Success Doll,Electronics,96.47,99
